LA,Thing,Count
Bradford,Application Programming Interface (API),8170
Bradford,Amazon Web Services,7140
Bradford,Docker (Software),6418
Bradford,Kubernetes,6332
Bradford,Java (Programming Language),6174
Bradford,Microsoft Excel,5564
Bradford,SQL (Programming Language),4915
Bradford,Microsoft Office,4842
Bradford,Python (Programming Language),4610
Bradford,Docker Swarm,3952
Bradford,JavaScript (Programming Language),3752
Bradford,Kotlin,3746
Bradford,Apache Kafka,3635
Bradford,NoSQL,3232
Bradford,PostgreSQL,3089
Bradford,Microsoft PowerPoint,2940
Bradford,React.js,2828
Bradford,RESTful API,2714
Bradford,Datadog,2688
Bradford,Node.js,2387
Bradford,Software Systems,2075
Bradford,GraphQL,1872
Bradford,Apache Airflow,1856
Bradford,Git (Version Control System),1829
Bradford,Jenkins,1782
Bradford,Ansible,1747
Bradford,Cascading Style Sheets (CSS),1710
Bradford,Microsoft Outlook,1661
Bradford,Chef (Configuration Management Tool),1649
Bradford,TypeScript,1641
Bradford,Linux,1600
Bradford,Puppet (Configuration Management Tool),1569
Bradford,Microsoft Azure,1493
Bradford,Spring Boot,1408
Bradford,Microsoft Word,1405
Bradford,Spring Framework,1400
Bradford,React Redux,1382
Bradford,Gitlab,1264
Bradford,HyperText Markup Language (HTML),1145
Bradford,Microsoft Teams,1126
Bradford,WebKit,1125
Bradford,Amazon DynamoDB,1104
Bradford,Jest (JavaScript Testing Framework),1088
Bradford,Adobe Photoshop,1084
Bradford,Go (Programming Language),994
Bradford,JIRA,987
Bradford,Adobe Illustrator,949
Bradford,Vue.js,928
Bradford,Adobe InDesign,922
Bradford,Adobe Creative Suite,916
Bradford,Scala (Programming Language),833
Bradford,Microsoft Office 365,792
Bradford,HTML5,786
Bradford,Windows PowerShell,759
Bradford,Tableau (Business Intelligence Software),748
Bradford,Operating Systems,723
Bradford,Middleware,721
Bradford,Order Management Systems,716
Bradford,Aruba (Network Management Software),708
Bradford,Apple IOS,704
Bradford,Terraform,661
Bradford,Figma (Design Software),657
Bradford,Amazon Redshift,624
Bradford,Accounting Software,624
Bradford,MongoDB,615
